web-scraper-order,web-scraper-start-url,firstLetters,firstLetters-href,testNames
"1522321788-1310","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","H","https://www.medicinenet.com/procedures_and_tests/alpha_h.htm","Hysteroscopic Sterilization (Surgical Sterilization)"
"1522321800-1324","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","G","https://www.medicinenet.com/procedures_and_tests/alpha_g.htm","Glucose Tolerance Test"
"1522321688-1010","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Sweat Test (Sweat Chloride Test)"
"1522321678-894","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Thyroid Blood Tests"
"1522321860-1657","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Amniocentesis"
"1522321678-927","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Trigger Point Injection"
"1522321860-1663","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Annulus Support (Heart Valve Disease Treatment)"
"1522321830-1429","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Dental Bridges (Bridges)"
"1522321860-1688","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Autopsy"
"1522321852-1564","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Bad Cholesterol Test (Cholesterol Test)"
"1522321830-1449","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Dilation and Curettage"
"1522321860-1659","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","ANA (Antinuclear Antibody)"
"1522321678-925","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Treadmill Stress Test (Exercise Stress Test)"
"1522321800-1318","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","G","https://www.medicinenet.com/procedures_and_tests/alpha_g.htm","Gastric Emptying Study"
"1522321822-1380","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Endoscopy, Balloon (Balloon Endoscopy)"
"1522321733-1135","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","N","https://www.medicinenet.com/procedures_and_tests/alpha_n.htm","Nasal Airway Surgery"
"1522321852-1613","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Bowel Diversion Surgery Ileostomy, Colostomy"
"1522321822-1420","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Eyebrow Lift (Brow Lift Cosmetic Surgery)"
"1522321852-1596","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Blood, CO2 (Electrolytes)"
"1522321788-1309","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","H","https://www.medicinenet.com/procedures_and_tests/alpha_h.htm","Hysterectomy, Vaginal Assisted (Laparoscopically Assisted Vaginal Hysterectomy)"
"1522321725-1120","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","O","https://www.medicinenet.com/procedures_and_tests/alpha_o.htm","Occult Fecal Blood Test (Fecal Occult Blood Tests)"
"1522321749-1223","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Lumbar Spinal Fusion (Minimally Invasive Lumbar Spinal Fusion)"
"1522321822-1402","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Esophageal Motility Study (Esophageal Manometry)"
"1522321749-1183","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Lactose Tolerance Test"
